B1,B2,B3,B4,B5,SB,fecha_sorteo,tipo_sorteo,numero_sorteo
23,30,36,37,40,11,2023-03-08 00:00:00,revancha,2274
24,26,35,36,41,7,2023-03-08 00:00:00,baloto,2274
3,7,24,33,40,14,2023-03-11 00:00:00,revancha,2275
9,13,15,27,31,15,2023-03-11 00:00:00,baloto,2275
3,7,16,33,34,3,2023-03-15 00:00:00,revancha,2276
2,4,18,23,39,5,2023-03-15 00:00:00,baloto,2276
1,5,9,19,31,13,2023-03-18 00:00:00,revancha,2277
2,15,16,30,37,3,2023-03-18 00:00:00,baloto,2277
2,20,23,27,37,8,2023-03-22 00:00:00,revancha,2278
1,16,21,34,35,14,2023-03-22 00:00:00,baloto,2278
7,8,16,19,30,5,2023-03-25 00:00:00,revancha,2279
4,17,24,27,40,4,2023-03-25 00:00:00,baloto,2279
14,16,24,29,30,3,2023-03-29 00:00:00,revancha,2280
21,22,23,31,39,6,2023-03-29 00:00:00,baloto,2280
20,24,27,33,40,12,2023-04-01 00:00:00,revancha,2281
1,4,11,22,25,6,2023-04-01 00:00:00,baloto,2281
4,5,18,22,29,2,2023-04-05 00:00:00,revancha,2282
4,5,7,36,37,1,2023-04-05 00:00:00,baloto,2282
10,27,32,40,42,14,2023-04-08 00:00:00,revancha,2283
3,5,12,19,20,5,2023-04-08 00:00:00,baloto,2283
4,17,19,23,32,9,2023-04-12 00:00:00,revancha,2284
11,20,24,29,35,2,2023-04-12 00:00:00,baloto,2284
5,26,33,37,43,4,2023-04-15 00:00:00,revancha,2285
19,21,28,29,30,12,2023-04-15 00:00:00,baloto,2285
3,13,21,37,43,13,2023-04-19 00:00:00,revancha,2286
15,18,19,32,36,8,2023-04-19 00:00:00,baloto,2286
3,12,15,28,40,1,2023-04-22 00:00:00,revancha,2287
17,18,32,37,43,6,2023-04-22 00:00:00,baloto,2287
2,16,25,35,39,11,2023-04-26 00:00:00,revancha,2288
4,10,13,27,43,2,2023-04-26 00:00:00,baloto,2288
3,14,19,34,39,12,2023-04-29 00:00:00,revancha,2289
7,20,26,33,39,7,2023-04-29 00:00:00,baloto,2289
1,3,24,30,38,10,2023-05-03 00:00:00,revancha,2290
9,13,22,39,41,16,2023-05-03 00:00:00,baloto,2290
4,10,17,23,32,2,2023-05-06 00:00:00,revancha,2291
