B1,B2,B3,B4,B5,SB,fecha_sorteo,tipo_sorteo,numero_sorteo
9,11,19,28,41,9,2023-11-25 00:00:00,baloto,2349
7,11,25,32,35,1,2023-11-29 00:00:00,baloto,2350
11,14,16,18,19,15,2023-12-02 00:00:00,baloto,2351
16,25,26,35,39,14,2023-12-06 00:00:00,baloto,2352
7,10,12,35,41,4,2023-12-09 00:00:00,baloto,2353
14,25,27,30,42,8,2023-12-13 00:00:00,baloto,2354
4,5,17,18,38,3,2023-12-16 00:00:00,baloto,2355
1,6,7,17,21,13,2023-12-20 00:00:00,baloto,2356
7,11,25,28,30,9,2023-12-23 00:00:00,baloto,2357
3,9,22,26,27,1,2023-12-27 00:00:00,baloto,2358
8,13,21,32,33,8,2023-12-30 00:00:00,baloto,2359
6,20,31,36,41,5,2024-01-03 00:00:00,baloto,2360
22,27,37,40,42,14,2024-01-06 00:00:00,baloto,2361
2,11,16,28,43,3,2024-01-10 00:00:00,baloto,2362
1,3,23,27,39,7,2024-01-13 00:00:00,baloto,2363
4,25,26,27,30,4,2024-01-17 00:00:00,baloto,2364
19,23,32,36,39,11,2024-01-20 00:00:00,baloto,2365
2,20,21,27,38,11,2024-01-24 00:00:00,baloto,2366
14,24,33,35,36,7,2024-01-27 00:00:00,baloto,2367
2,14,20,26,28,12,2024-01-31 00:00:00,baloto,2368
18,20,39,40,43,14,2024-02-03 00:00:00,baloto,2369
2,11,26,28,41,5,2024-02-07 00:00:00,baloto,2370
6,14,31,34,42,7,2024-02-10 00:00:00,baloto,2371
1,8,21,27,35,3,2024-02-14 00:00:00,baloto,2372
18,21,34,38,43,14,2024-02-17 00:00:00,baloto,2373
1,7,11,18,34,11,2024-02-21 00:00:00,baloto,2374
12,22,29,41,42,15,2024-02-24 00:00:00,baloto,2375
4,14,23,34,42,7,2024-02-28 00:00:00,baloto,2376
6,17,26,38,40,3,2024-03-02 00:00:00,baloto,2377
19,25,26,39,41,15,2024-03-06 00:00:00,baloto,2378
10,14,23,25,42,4,2024-03-09 00:00:00,baloto,2379
6,20,24,27,42,16,2024-03-13 00:00:00,baloto,2380
1,12,25,27,32,8,2024-03-16 00:00:00,baloto,2381
17,22,24,35,40,8,2024-03-20 00:00:00,baloto,2382
9,23,29,32,34,7,2024-03-23 00:00:00,baloto,2383
2,3,8,11,32,16,2024-03-27 00:00:00,baloto,2384
7,21,30,35,36,11,2024-03-30 00:00:00,baloto,2385
14,20,29,37,41,14,2024-04-03 00:00:00,baloto,2386
2,24,25,26,30,9,2024-04-06 00:00:00,baloto,2387
3,5,11,12,40,2,2024-04-10 00:00:00,baloto,2388
2,16,31,37,43,5,2024-04-13 00:00:00,baloto,2389
25,26,31,37,38,4,2024-04-17 00:00:00,baloto,2390
2,12,31,32,35,3,2024-04-20 00:00:00,baloto,2391
19,20,26,29,43,9,2024-04-24 00:00:00,baloto,2392
11,13,21,23,24,6,2024-04-27 00:00:00,baloto,2393
20,23,25,31,36,12,2024-05-01 00:00:00,baloto,2394
8,10,28,30,38,10,2024-05-04 00:00:00,baloto,2395
13,16,23,26,30,16,2024-05-08 00:00:00,baloto,2396
4,11,16,21,39,8,2024-05-11 00:00:00,baloto,2397
2,4,10,27,41,2,2024-05-15 00:00:00,baloto,2398
12,19,28,35,42,4,2024-05-18 00:00:00,baloto,2399
5,11,14,21,33,6,2024-05-22 00:00:00,baloto,2400
12,18,39,40,41,3,2024-05-25 00:00:00,baloto,2401
7,8,14,15,19,6,2024-05-29 00:00:00,baloto,2402
16,22,26,27,37,9,2024-06-01 00:00:00,baloto,2403
3,19,24,38,39,5,2024-06-05 00:00:00,baloto,2404
5,16,17,29,38,7,2024-06-08 00:00:00,baloto,2405
